Trade #,Strategy,Entry Time,Exit Time,Side,Entry Price,Exit Price,Position Size,P&L ($),P&L (%),Commission,Duration (hrs),Result
20,HMA_WAE_21_8h_3mo,2025-04-06 00:00:00,2025-04-06 08:00:00,Short,$82983.4475,$82589.6342,0.041577,$12.94,0.38%,$6.87,8.0,Win
21,HMA_WAE_21_8h_3mo,2025-04-06 16:00:00,2025-04-07 00:00:00,Short,$78390.7850,$75163.5730,0.043982,$138.63,4.02%,$6.61,8.0,Win
22,HMA_WAE_21_8h_3mo,2025-04-07 08:00:00,2025-04-07 16:00:00,Short,$78440.6600,$79202.8216,0.043924,$-36.96,-1.07%,$6.96,8.0,Loss
23,HMA_WAE_21_8h_3mo,2025-04-08 00:00:00,2025-04-08 08:00:00,Short,$79456.2520,$78537.2390,0.043332,$36.42,1.06%,$6.81,8.0,Win
24,HMA_WAE_21_8h_3mo,2025-04-08 16:00:00,2025-04-09 00:00:00,Short,$76284.2588,$77732.9671,0.045103,$-68.85,-2.00%,$7.01,8.0,Loss
25,HMA_WAE_21_8h_3mo,2025-04-09 08:00:00,2025-04-09 16:00:00,Short,$77219.3710,$82656.5276,0.044525,$-245.77,-7.15%,$7.36,8.0,Loss
26,HMA_WAE_21_8h_3mo,2025-04-10 00:00:00,2025-04-10 08:00:00,Short,$81555.0121,$78796.3785,0.042128,$112.90,3.29%,$6.64,8.0,Win
27,HMA_WAE_21_8h_3mo,2025-04-10 16:00:00,2025-04-11 00:00:00,Short,$79567.4964,$81307.3934,0.043150,$-78.59,-2.29%,$7.02,8.0,Loss
28,HMA_WAE_21_8h_3mo,2025-04-11 08:00:00,2025-04-11 16:00:00,Short,$82480.4791,$83465.5519,0.041597,$-44.45,-1.30%,$6.94,8.0,Loss
29,HMA_WAE_21_8h_3mo,2025-04-12 00:00:00,2025-04-12 08:00:00,Short,$83683.0575,$85050.9042,0.040970,$-59.53,-1.74%,$6.97,8.0,Loss
30,HMA_WAE_21_8h_3mo,2025-04-12 16:00:00,2025-04-13 00:00:00,Short,$85234.2615,$84455.3066,0.040196,$27.92,0.81%,$6.79,8.0,Win
31,HMA_WAE_21_8h_3mo,2025-04-13 08:00:00,2025-04-13 16:00:00,Short,$83807.7352,$83801.8800,0.040852,$-3.18,-0.09%,$6.85,8.0,Loss
32,HMA_WAE_21_8h_3mo,2025-04-14 00:00:00,2025-04-14 08:00:00,Short,$84538.4696,$84143.2106,0.040470,$12.59,0.37%,$6.81,8.0,Win
33,HMA_WAE_21_8h_3mo,2025-04-14 16:00:00,2025-04-15 00:00:00,Short,$84549.2842,$85759.6284,0.040437,$-52.41,-1.53%,$6.94,8.0,Loss
34,HMA_WAE_21_8h_3mo,2025-04-15 08:00:00,2025-04-15 16:00:00,Short,$84875.6809,$83685.8120,0.040253,$44.53,1.30%,$6.74,8.0,Win
35,HMA_WAE_21_8h_3mo,2025-04-16 00:00:00,2025-04-16 08:00:00,Short,$83321.4884,$84889.0033,0.040976,$-67.71,-1.98%,$6.96,8.0,Loss
36,HMA_WAE_21_8h_3mo,2025-04-16 16:00:00,2025-04-17 00:00:00,Short,$83988.3648,$84712.3150,0.040621,$-32.85,-0.96%,$6.88,8.0,Loss
37,HMA_WAE_21_8h_3mo,2025-04-17 08:00:00,2025-04-17 16:00:00,Short,$84489.4441,$84990.3840,0.040352,$-23.64,-0.69%,$6.86,8.0,Loss
38,HMA_WAE_21_8h_3mo,2025-04-18 00:00:00,2025-04-18 08:00:00,Short,$84612.3527,$84416.7773,0.040265,$4.48,0.13%,$6.80,8.0,Win
39,HMA_WAE_21_8h_3mo,2025-04-18 16:00:00,2025-04-19 00:00:00,Short,$84432.4527,$85259.9987,0.040323,$-36.81,-1.08%,$6.88,8.0,Loss
40,HMA_WAE_21_8h_3mo,2025-04-19 08:00:00,2025-04-19 16:00:00,Short,$85148.5944,$85119.5485,0.039956,$-2.24,-0.07%,$6.80,8.0,Loss
41,HMA_WAE_21_8h_3mo,2025-04-20 00:00:00,2025-04-20 08:00:00,Short,$84741.6180,$84386.8323,0.040119,$10.85,0.32%,$6.77,8.0,Win
42,HMA_WAE_21_8h_3mo,2025-04-20 16:00:00,2025-04-21 00:00:00,Short,$85136.6504,$87478.4974,0.039905,$-96.94,-2.85%,$6.98,8.0,Loss
43,HMA_WAE_21_8h_3mo,2025-04-21 08:00:00,2025-04-21 16:00:00,Short,$88000.7776,$87559.9881,0.038579,$13.63,0.40%,$6.76,8.0,Win
44,HMA_WAE_21_8h_3mo,2025-04-22 00:00:00,2025-04-22 08:00:00,Short,$88432.5916,$90980.0773,0.038364,$-101.22,-2.98%,$6.98,8.0,Loss
45,HMA_WAE_21_8h_3mo,2025-04-22 16:00:00,2025-04-23 00:00:00,Short,$93396.2685,$94180.8869,0.036299,$-31.90,-0.94%,$6.84,8.0,Loss
46,HMA_WAE_21_8h_3mo,2025-04-23 08:00:00,2025-04-23 16:00:00,Short,$93148.6824,$93737.9255,0.036370,$-24.84,-0.73%,$6.82,8.0,Loss
47,HMA_WAE_21_8h_3mo,2025-04-24 00:00:00,2025-04-24 08:00:00,Short,$92157.4482,$93249.1113,0.036736,$-43.53,-1.29%,$6.85,8.0,Loss
48,HMA_WAE_21_8h_3mo,2025-04-24 16:00:00,2025-04-25 00:00:00,Short,$93933.4798,$93819.1461,0.036016,$0.74,0.02%,$6.76,8.0,Win
49,HMA_WAE_21_8h_3mo,2025-04-25 08:00:00,2025-04-25 16:00:00,Short,$95013.6894,$94685.9993,0.035581,$8.29,0.25%,$6.74,8.0,Win
50,HMA_WAE_21_8h_3mo,2025-04-26 00:00:00,2025-04-26 08:00:00,Short,$94523.0248,$94420.4266,0.035741,$0.29,0.01%,$6.75,8.0,Win
51,HMA_WAE_21_8h_3mo,2025-04-26 16:00:00,2025-04-27 00:00:00,Short,$94580.6860,$94113.0130,0.035694,$13.33,0.39%,$6.72,8.0,Win
52,HMA_WAE_21_8h_3mo,2025-04-27 08:00:00,2025-04-27 16:00:00,Short,$93854.1295,$93796.1747,0.035946,$-1.29,-0.04%,$6.74,8.0,Loss
53,HMA_WAE_21_8h_3mo,2025-04-28 00:00:00,2025-04-28 08:00:00,Short,$94645.1438,$93880.4268,0.035620,$23.90,0.71%,$6.69,8.0,Win
54,HMA_WAE_21_8h_3mo,2025-04-28 16:00:00,2025-04-29 00:00:00,Short,$94963.6744,$94965.0688,0.035476,$-3.42,-0.10%,$6.74,8.0,Loss
55,HMA_WAE_21_8h_3mo,2025-04-29 08:00:00,2025-04-29 16:00:00,Short,$94795.6785,$94303.9484,0.035514,$14.11,0.42%,$6.70,8.0,Win
56,HMA_WAE_21_8h_3mo,2025-04-30 00:00:00,2025-04-30 08:00:00,Short,$94573.6795,$94051.6323,0.035572,$15.22,0.45%,$6.69,8.0,Win
57,HMA_WAE_21_8h_3mo,2025-04-30 16:00:00,2025-05-01 00:00:00,Short,$94124.9140,$95073.3529,0.035717,$-37.27,-1.11%,$6.79,8.0,Loss
58,HMA_WAE_21_8h_3mo,2025-05-01 08:00:00,2025-05-01 16:00:00,Short,$96805.8729,$96538.1550,0.034704,$5.94,0.18%,$6.70,8.0,Win
59,HMA_WAE_21_8h_3mo,2025-05-02 00:00:00,2025-05-02 08:00:00,Short,$96301.8250,$97378.8551,0.034861,$-40.94,-1.22%,$6.79,8.0,Loss
60,HMA_WAE_21_8h_3mo,2025-05-02 16:00:00,2025-05-03 00:00:00,Short,$96838.6964,$96370.8413,0.034643,$12.87,0.38%,$6.68,8.0,Win
61,HMA_WAE_21_8h_3mo,2025-05-03 08:00:00,2025-05-03 16:00:00,Short,$96370.4707,$95904.3482,0.034787,$12.88,0.38%,$6.67,8.0,Win
62,HMA_WAE_21_8h_3mo,2025-05-04 00:00:00,2025-05-04 08:00:00,Short,$95832.0500,$95515.3338,0.034958,$7.73,0.23%,$6.68,8.0,Win
63,HMA_WAE_21_8h_3mo,2025-05-04 16:00:00,2025-05-05 00:00:00,Short,$94230.4812,$94809.2910,0.035528,$-23.93,-0.71%,$6.74,8.0,Loss
64,HMA_WAE_21_8h_3mo,2025-05-05 08:00:00,2025-05-05 16:00:00,Short,$93723.4248,$94781.0468,0.035695,$-41.13,-1.23%,$6.77,8.0,Loss
65,HMA_WAE_21_8h_3mo,2025-05-06 00:00:00,2025-05-06 08:00:00,Short,$94353.7895,$94606.2295,0.035431,$-12.30,-0.37%,$6.70,8.0,Loss
66,HMA_WAE_21_8h_3mo,2025-05-06 16:00:00,2025-05-07 00:00:00,Short,$96785.6030,$97043.3174,0.034517,$-12.25,-0.37%,$6.70,8.0,Loss
67,HMA_WAE_21_8h_3mo,2025-05-07 08:00:00,2025-05-07 16:00:00,Short,$96875.4480,$97079.0152,0.034461,$-10.36,-0.31%,$6.69,8.0,Loss
68,HMA_WAE_21_8h_3mo,2025-05-08 00:00:00,2025-05-08 08:00:00,Short,$99202.7138,$100808.4590,0.033629,$-57.39,-1.72%,$6.78,8.0,Loss
69,HMA_WAE_21_8h_3mo,2025-05-08 16:00:00,2025-05-09 00:00:00,Short,$103209.9692,$103680.5844,0.032300,$-18.55,-0.56%,$6.70,8.0,Loss
70,HMA_WAE_21_8h_3mo,2025-05-09 08:00:00,2025-05-09 16:00:00,Short,$102844.5420,$103023.4760,0.032392,$-9.13,-0.27%,$6.67,8.0,Loss
71,HMA_WAE_21_8h_3mo,2025-05-10 00:00:00,2025-05-10 08:00:00,Short,$103707.8301,$103190.3394,0.032100,$13.30,0.40%,$6.62,8.0,Win
72,HMA_WAE_21_8h_3mo,2025-05-10 16:00:00,2025-05-11 00:00:00,Short,$104757.1252,$103437.1627,0.031756,$38.63,1.16%,$6.57,8.0,Win
73,HMA_WAE_21_8h_3mo,2025-05-11 08:00:00,2025-05-11 16:00:00,Short,$104097.9250,$104170.0590,0.031935,$-5.63,-0.17%,$6.65,8.0,Loss
74,HMA_WAE_21_8h_3mo,2025-05-12 00:00:00,2025-05-12 08:00:00,Short,$104415.7560,$102578.5236,0.031816,$55.19,1.66%,$6.53,8.0,Win
75,HMA_WAE_21_8h_3mo,2025-05-12 16:00:00,2025-05-13 00:00:00,Short,$102739.9243,$102716.8328,0.032312,$-2.57,-0.08%,$6.64,8.0,Loss
76,HMA_WAE_21_8h_3mo,2025-05-13 08:00:00,2025-05-13 16:00:00,Short,$103630.7087,$104155.7719,0.032012,$-20.14,-0.61%,$6.67,8.0,Loss
77,HMA_WAE_21_8h_3mo,2025-05-14 00:00:00,2025-05-14 08:00:00,Short,$103664.6917,$103565.9971,0.031979,$-0.16,-0.00%,$6.62,8.0,Loss
78,HMA_WAE_21_8h_3mo,2025-05-14 16:00:00,2025-05-15 00:00:00,Short,$103456.0661,$101830.8800,0.032021,$48.78,1.47%,$6.52,8.0,Win
79,HMA_WAE_21_8h_3mo,2025-05-15 08:00:00,2025-05-15 16:00:00,Short,$103199.7243,$103815.5919,0.032079,$-23.09,-0.70%,$6.66,8.0,Loss
80,HMA_WAE_21_8h_3mo,2025-05-16 00:00:00,2025-05-16 08:00:00,Short,$103658.3149,$104235.4217,0.031914,$-21.74,-0.66%,$6.65,8.0,Loss
81,HMA_WAE_21_8h_3mo,2025-05-16 16:00:00,2025-05-17 00:00:00,Short,$103412.1680,$103502.8656,0.031968,$-6.21,-0.19%,$6.62,8.0,Loss
82,HMA_WAE_21_8h_3mo,2025-05-17 08:00:00,2025-05-17 16:00:00,Short,$102888.0602,$103178.2133,0.032108,$-12.63,-0.38%,$6.63,8.0,Loss
83,HMA_WAE_21_8h_3mo,2025-05-18 00:00:00,2025-05-18 08:00:00,Short,$103867.4303,$105570.7590,0.031783,$-57.49,-1.74%,$6.71,8.0,Loss
84,HMA_WAE_21_8h_3mo,2025-05-18 16:00:00,2025-05-19 00:00:00,Short,$106401.0329,$103277.9031,0.031004,$93.63,2.84%,$6.40,8.0,Win
85,HMA_WAE_21_8h_3mo,2025-05-19 08:00:00,2025-05-19 16:00:00,Short,$104734.0168,$105626.5269,0.031476,$-31.42,-0.95%,$6.65,8.0,Loss
86,HMA_WAE_21_8h_3mo,2025-05-20 00:00:00,2025-05-20 08:00:00,Short,$104969.1991,$105386.3468,0.031384,$-16.40,-0.50%,$6.61,8.0,Loss
87,HMA_WAE_21_8h_3mo,2025-05-20 16:00:00,2025-05-21 00:00:00,Short,$106796.5650,$106580.4236,0.030825,$3.38,0.10%,$6.57,8.0,Win
88,HMA_WAE_21_8h_3mo,2025-05-21 08:00:00,2025-05-21 16:00:00,Short,$108918.8633,$109698.8120,0.030203,$-26.87,-0.82%,$6.63,8.0,Loss
89,HMA_WAE_21_8h_3mo,2025-05-22 00:00:00,2025-05-22 08:00:00,Short,$110989.9273,$111346.5054,0.029619,$-13.86,-0.42%,$6.60,8.0,Loss
90,HMA_WAE_21_8h_3mo,2025-05-22 16:00:00,2025-05-23 00:00:00,Short,$111640.3619,$110770.7777,0.029426,$22.33,0.68%,$6.52,8.0,Win
91,HMA_WAE_21_8h_3mo,2025-05-23 08:00:00,2025-05-24 00:00:00,Short,$108885.5300,$107641.5439,0.030149,$34.26,1.04%,$6.49,16.0,Win
92,HMA_WAE_21_8h_3mo,2025-05-24 08:00:00,2025-05-24 16:00:00,Short,$108875.2352,$107815.7910,0.030131,$28.67,0.87%,$6.50,8.0,Win
93,HMA_WAE_21_8h_3mo,2025-05-25 00:00:00,2025-05-25 08:00:00,Short,$107627.9691,$107021.4540,0.030459,$15.21,0.46%,$6.52,8.0,Win
94,HMA_WAE_21_8h_3mo,2025-05-25 16:00:00,2025-05-26 00:00:00,Short,$108949.6879,$110149.6673,0.030068,$-39.39,-1.20%,$6.62,8.0,Loss
95,HMA_WAE_21_8h_3mo,2025-05-26 08:00:00,2025-05-26 16:00:00,Short,$109954.8151,$109489.5074,0.029773,$10.59,0.32%,$6.52,8.0,Win
96,HMA_WAE_21_8h_3mo,2025-05-27 00:00:00,2025-05-27 08:00:00,Short,$109492.3864,$110195.1801,0.029877,$-24.29,-0.74%,$6.58,8.0,Loss
97,HMA_WAE_21_8h_3mo,2025-05-27 16:00:00,2025-05-28 00:00:00,Short,$108883.7009,$108870.8482,0.030023,$-2.88,-0.09%,$6.54,8.0,Loss
98,HMA_WAE_21_8h_3mo,2025-05-28 08:00:00,2025-05-28 16:00:00,Short,$107053.7563,$107835.6709,0.030515,$-27.15,-0.83%,$6.58,8.0,Loss
99,HMA_WAE_21_8h_3mo,2025-05-29 00:00:00,2025-05-29 08:00:00,Short,$107826.7796,$107073.3999,0.030275,$19.57,0.60%,$6.48,8.0,Win
100,HMA_WAE_21_8h_3mo,2025-05-29 16:00:00,2025-05-30 00:00:00,Short,$105536.9551,$105080.5340,0.030910,$10.86,0.33%,$6.50,8.0,Win
101,HMA_WAE_21_8h_3mo,2025-05-30 08:00:00,2025-05-30 16:00:00,Short,$105490.2285,$104037.4727,0.030903,$41.68,1.28%,$6.43,8.0,Win
102,HMA_WAE_21_8h_3mo,2025-05-31 00:00:00,2025-05-31 08:00:00,Short,$103695.1465,$104608.3580,0.031416,$-31.98,-0.98%,$6.57,8.0,Loss
103,HMA_WAE_21_8h_3mo,2025-05-31 16:00:00,2025-06-01 00:00:00,Short,$104539.5841,$104328.0880,0.031140,$3.34,0.10%,$6.50,8.0,Win
104,HMA_WAE_21_8h_3mo,2025-06-01 08:00:00,2025-06-01 16:00:00,Short,$104662.7425,$105695.7515,0.031082,$-35.39,-1.09%,$6.57,8.0,Loss
105,HMA_WAE_21_8h_3mo,2025-06-02 00:00:00,2025-06-02 08:00:00,Short,$105334.9762,$104491.0094,0.030862,$22.82,0.70%,$6.45,8.0,Win
106,HMA_WAE_21_8h_3mo,2025-06-02 16:00:00,2025-06-03 00:00:00,Short,$105805.0610,$105223.3354,0.030703,$14.63,0.45%,$6.46,8.0,Win
107,HMA_WAE_21_8h_3mo,2025-06-03 08:00:00,2025-06-03 16:00:00,Short,$106557.3547,$105429.5784,0.030465,$31.15,0.96%,$6.42,8.0,Win
108,HMA_WAE_21_8h_3mo,2025-06-04 00:00:00,2025-06-04 08:00:00,Short,$105268.0896,$105350.9191,0.030817,$-5.80,-0.18%,$6.49,8.0,Loss
109,HMA_WAE_21_8h_3mo,2025-06-04 16:00:00,2025-06-05 00:00:00,Short,$104644.5116,$104570.3090,0.030979,$-0.94,-0.03%,$6.48,8.0,Loss
110,HMA_WAE_21_8h_3mo,2025-06-05 08:00:00,2025-06-05 16:00:00,Short,$104479.2243,$101559.4343,0.031006,$87.38,2.70%,$6.30,8.0,Win
111,HMA_WAE_21_8h_3mo,2025-06-06 00:00:00,2025-06-06 00:00:00,Short,$103098.8648,$103202.0152,0.031399,$-6.48,-0.20%,$6.48,0.0,Loss
